Explant_Type,Plant_Species,Medium_Composition,Temperature,Humidity,Light_Intensity,Culture_Duration,Regeneration_Success_Rate
Stem,Mint,MS + 1mg/L NAA,22,61,3904,53,78
Stem,Garlic,B5 + 2mg/L BAP,26,75,4984,30,88
Root,Marigold,MS + 1.5mg/L BAP,21,66,2967,34,87
Stem,Thyme,B5 + 1mg/L NAA,24,72,3649,40,83
Leaf,Potato,B5 + 2mg/L BAP,24,72,3328,30,85
Root,Parsley,MS + 0.5mg/L IAA,21,72,2043,42,72
Root,Thyme,MS + 0.5mg/L IAA,21,70,2174,43,73
Leaf,Spinach,MS + 2mg/L BAP,21,51,4947,43,95
Stem,Potato,MS + 1.5mg/L BAP,22,67,2830,58,70
Stem,Lettuce,MS + 1mg/L NAA,26,51,2586,59,73
Stem,Parsley,MS + 2mg/L BAP,23,56,4478,53,86
Stem,Chamomile,MS + 1mg/L NAA,20,66,4305,50,84
Leaf,Potato,MS + 2mg/L BAP,20,73,2065,46,84
Stem,Dandelion,MS + 1mg/L NAA,24,66,4353,42,94
Root,Lettuce,MS + 1.5mg/L BAP,21,68,2155,50,70
Root,Eggplant,B5 + 1mg/L NAA,23,70,4880,51,77
Stem,Pepper,B5 + 0.5mg/L IAA,26,74,4605,54,77
Root,Pansy,B5 + 0.5mg/L IAA,20,73,2227,31,75
Root,Pepper,MS + 0.5mg/L IAA,25,73,3770,42,80
Root,Pepper,MS + 1mg/L NAA,20,51,3231,50,84
Leaf,Daisy,B5 + 1mg/L NAA,23,59,3856,44,94
Stem,Marigold,B5 + 2mg/L BAP,20,58,3665,37,71
Stem,Broccoli,MS + 1.5mg/L BAP,24,70,2276,39,92
Root,Pepper,MS + 1mg/L NAA,21,52,4641,45,79
Root,Marigold,MS + 0.5mg/L IAA,23,51,3276,43,91
Leaf,Lavender,MS + 2mg/L BAP,23,59,3233,45,79
Leaf,Onion,B5 + 1mg/L NAA,25,51,2596,32,77
Leaf,Ginger,MS + 0.5mg/L IAA,20,58,3849,57,95
Root,Spinach,MS + 1mg/L NAA,22,57,4061,39,94
Leaf,Chrysanthemum,B5 + 1mg/L NAA,23,52,4002,56,70
Leaf,Thyme,MS + 0.5mg/L IAA,22,61,3021,48,84
Leaf,Tomato,MS + 0.5mg/L IAA,23,62,4890,48,77
Root,Cauliflower,B5 + 2mg/L BAP,20,62,3330,51,74
Leaf,Oregano,MS + 1.5mg/L BAP,25,66,3302,47,79
Root,Eggplant,B5 + 2mg/L BAP,25,60,3064,43,82
Leaf,Sunflower,MS + 1mg/L NAA,23,52,4697,37,91
Root,Cucumber,B5 + 0.5mg/L IAA,26,71,2215,34,83
Stem,Sunflower,MS + 1mg/L NAA,26,56,4926,47,94
Stem,Tomato,MS + 0.5mg/L IAA,20,60,3163,48,86
Root,Carrot,B5 + 0.5mg/L IAA,23,56,2721,41,88
Leaf,Tomato,B5 + 1mg/L NAA,23,66,4626,53,89
Leaf,Thyme,B5 + 0.5mg/L IAA,26,70,3018,49,85
Leaf,Garlic,B5 + 2mg/L BAP,21,70,2511,32,91
Stem,Mint,B5 + 2mg/L BAP,23,53,3640,58,78
Leaf,Lavender,MS + 0.5mg/L IAA,22,58,4536,53,89
Root,Mint,MS + 0.5mg/L IAA,21,66,4018,30,95
Root,Oregano,MS + 1mg/L NAA,25,70,4452,37,95
Stem,Chrysanthemum,MS + 1mg/L NAA,24,56,2588,46,91
Stem,Sunflower,MS + 1mg/L NAA,25,65,4965,40,71
Root,Tomato,MS + 1mg/L NAA,22,59,4889,35,94
Stem,Aloe,MS + 1mg/L NAA,20,64,2250,39,76
Root,Potato,MS + 0.5mg/L IAA,20,60,3773,34,90
Root,Garlic,MS + 0.5mg/L IAA,24,61,3814,57,94
Root,Pepper,B5 + 2mg/L BAP,22,66,3489,45,71
Root,Eggplant,B5 + 2mg/L BAP,21,51,3096,42,78
Root,Ginger,MS + 1.5mg/L BAP,23,56,4338,35,95
Stem,Carrot,MS + 1mg/L NAA,21,51,2920,34,77
Leaf,Chamomile,MS + 0.5mg/L IAA,21,69,4547,33,86
Stem,Parsley,B5 + 1mg/L NAA,22,70,2804,40,73
Stem,Pepper,MS + 1mg/L NAA,23,50,3252,41,95
Stem,Rose,B5 + 1mg/L NAA,20,53,2946,48,84
Root,Pepper,B5 + 1mg/L NAA,23,62,4801,54,84
Leaf,Cucumber,B5 + 1mg/L NAA,26,66,4353,42,89
Root,Cauliflower,MS + 1mg/L NAA,23,60,3639,37,89
Root,Chamomile,MS + 2mg/L BAP,25,62,4406,59,93
Leaf,Spinach,B5 + 0.5mg/L IAA,21,59,2078,51,86
Root,Eggplant,B5 + 0.5mg/L IAA,26,64,3135,44,88
Stem,Potato,B5 + 2mg/L BAP,21,53,3308,39,88
Root,Chrysanthemum,MS + 1.5mg/L BAP,25,65,2868,36,74
Leaf,Basil,MS + 0.5mg/L IAA,20,64,4751,48,78
Leaf,Dandelion,MS + 0.5mg/L IAA,21,67,4416,51,82
Leaf,Potato,B5 + 2mg/L BAP,26,58,2750,43,88
Leaf,Oregano,B5 + 2mg/L BAP,21,51,4821,37,75
Leaf,Carrot,B5 + 2mg/L BAP,26,52,3420,49,79
Root,Carrot,MS + 1mg/L NAA,23,69,2714,49,84
Leaf,Pansy,B5 + 2mg/L BAP,20,51,4102,38,70
Leaf,Daisy,B5 + 0.5mg/L IAA,20,54,3920,49,79
Leaf,Garlic,MS + 1mg/L NAA,25,64,4285,40,86
Stem,Daisy,MS + 1mg/L NAA,26,75,4842,59,73
Stem,Lavender,MS + 1mg/L NAA,24,71,2911,49,73
Leaf,Rose,MS + 1.5mg/L BAP,22,53,3369,39,91
Root,Daisy,MS + 1.5mg/L BAP,22,62,3870,30,76
Stem,Spinach,MS + 2mg/L BAP,25,69,2811,36,71
Stem,Cauliflower,B5 + 1mg/L NAA,20,66,3016,47,72
Stem,Tomato,B5 + 0.5mg/L IAA,23,72,4092,48,86
Leaf,Mint,MS + 2mg/L BAP,22,67,2403,41,83
Root,Lavender,MS + 1.5mg/L BAP,21,70,2906,40,94
Root,Dandelion,MS + 1.5mg/L BAP,21,72,3008,55,79
Stem,Basil,MS + 2mg/L BAP,25,56,2080,53,77
Stem,Daisy,MS + 2mg/L BAP,20,65,3971,39,74
Leaf,Aloe,B5 + 1mg/L NAA,23,72,2952,43,77
Stem,Oregano,MS + 1.5mg/L BAP,22,53,3135,41,72
Root,Dandelion,MS + 2mg/L BAP,22,63,3394,43,78
Stem,Lavender,B5 + 1mg/L NAA,26,52,3018,54,81
Root,Chrysanthemum,MS + 1mg/L NAA,22,53,4576,51,92
Stem,Tobacco,MS + 1.5mg/L BAP,20,61,4782,50,82
Leaf,Tobacco,B5 + 1mg/L NAA,25,66,2852,41,81
Root,Pansy,MS + 1.5mg/L BAP,21,62,2206,36,73
Stem,Beetroot,B5 + 2mg/L BAP,23,63,2740,32,86
Root,Pepper,MS + 2mg/L BAP,21,75,2942,45,95
Root,Marigold,B5 + 2mg/L BAP,23,66,3733,31,73
Stem,Tobacco,B5 + 1mg/L NAA,23,63,3270,46,75
Stem,Sunflower,B5 + 2mg/L BAP,25,53,2415,45,84
Leaf,Tobacco,MS + 1mg/L NAA,23,52,2732,36,81
Stem,Ginger,B5 + 2mg/L BAP,24,68,2624,31,89
Stem,Tomato,B5 + 2mg/L BAP,22,68,3200,31,72
Stem,Spinach,MS + 1mg/L NAA,23,65,3948,34,85
Root,Daisy,MS + 1.5mg/L BAP,23,62,3038,53,71
Stem,Basil,MS + 2mg/L BAP,26,64,2088,57,70
Root,Tomato,MS + 2mg/L BAP,20,61,4594,32,77
Leaf,Aloe,MS + 2mg/L BAP,23,68,4334,30,78
Root,Cucumber,MS + 1.5mg/L BAP,26,73,4206,51,77
Stem,Marigold,MS + 2mg/L BAP,25,72,3533,34,94
Root,Garlic,MS + 1mg/L NAA,21,66,2781,53,84
Stem,Lavender,MS + 1.5mg/L BAP,26,56,4926,55,78
Leaf,Pansy,MS + 2mg/L BAP,22,71,3878,60,76
Stem,Tobacco,B5 + 0.5mg/L IAA,24,56,2644,44,93
Stem,Eggplant,MS + 0.5mg/L IAA,22,55,2225,60,74
Root,Thyme,B5 + 2mg/L BAP,21,63,2990,36,81
Leaf,Cauliflower,B5 + 2mg/L BAP,24,52,2942,42,82
Root,Spinach,B5 + 1mg/L NAA,20,65,3420,51,95
Leaf,Rose,MS + 1mg/L NAA,26,51,2183,42,91
Leaf,Chamomile,B5 + 1mg/L NAA,22,73,3327,37,85
Leaf,Thyme,MS + 0.5mg/L IAA,23,60,2297,51,79
Stem,Rose,B5 + 1mg/L NAA,26,50,3637,53,70
Leaf,Onion,MS + 0.5mg/L IAA,20,60,2197,35,95
Leaf,Oregano,MS + 1mg/L NAA,23,67,2514,41,95
Root,Lettuce,MS + 0.5mg/L IAA,22,56,3018,53,92
Root,Marigold,MS + 2mg/L BAP,26,61,2540,42,80
Stem,Garlic,B5 + 2mg/L BAP,22,56,3337,51,76
Leaf,Tomato,MS + 1.5mg/L BAP,20,58,2392,55,82
Stem,Oregano,MS + 0.5mg/L IAA,24,61,2116,44,74
Stem,Pansy,B5 + 2mg/L BAP,24,70,3996,36,80
Stem,Basil,B5 + 2mg/L BAP,23,67,4902,53,72
Stem,Pansy,MS + 0.5mg/L IAA,20,52,2367,52,90
Root,Tobacco,MS + 1.5mg/L BAP,20,68,3497,56,91
Leaf,Chrysanthemum,MS + 0.5mg/L IAA,26,61,3460,35,74
Root,Garlic,B5 + 2mg/L BAP,26,63,3328,35,76
Leaf,Parsley,B5 + 0.5mg/L IAA,23,60,4188,60,73
Stem,Pepper,B5 + 1mg/L NAA,24,64,4042,53,72
Root,Cauliflower,B5 + 2mg/L BAP,24,72,2221,36,80
Leaf,Broccoli,B5 + 0.5mg/L IAA,24,54,4407,39,78
Leaf,Garlic,B5 + 2mg/L BAP,21,67,3092,59,73
Root,Sunflower,MS + 1.5mg/L BAP,21,61,4597,46,90
Leaf,Broccoli,MS + 1.5mg/L BAP,22,57,4860,44,72
Leaf,Cucumber,MS + 1mg/L NAA,25,61,2214,38,73
Leaf,Chrysanthemum,B5 + 0.5mg/L IAA,21,57,3119,48,88
Root,Potato,MS + 1.5mg/L BAP,20,57,2622,36,70
Root,Carrot,B5 + 2mg/L BAP,21,68,2623,49,90
Stem,Lettuce,B5 + 0.5mg/L IAA,22,70,4652,32,74
Root,Garlic,MS + 1mg/L NAA,24,68,4814,43,70
Root,Carrot,MS + 1mg/L NAA,21,74,4765,51,82
Leaf,Sunflower,MS + 1mg/L NAA,23,74,3225,42,70
Root,Tomato,MS + 1mg/L NAA,22,66,3396,30,85
Root,Dandelion,MS + 0.5mg/L IAA,22,55,3610,55,73
Root,Lavender,MS + 1mg/L NAA,26,59,3251,33,77
Leaf,Chamomile,MS + 1mg/L NAA,22,55,2291,48,93
Root,Daisy,MS + 1mg/L NAA,20,62,2322,33,82
Stem,Ginger,MS + 0.5mg/L IAA,26,62,4431,31,90
Root,Lettuce,B5 + 1mg/L NAA,23,71,4542,49,88
Leaf,Tomato,MS + 2mg/L BAP,21,54,2640,30,76
Root,Aloe,MS + 0.5mg/L IAA,21,53,3520,39,71
Root,Lettuce,MS + 2mg/L BAP,22,64,3524,47,95
Leaf,Eggplant,B5 + 2mg/L BAP,22,74,2358,46,71
Stem,Eggplant,B5 + 1mg/L NAA,23,72,2539,43,81
Leaf,Cauliflower,B5 + 0.5mg/L IAA,26,65,3313,42,74
Leaf,Lavender,B5 + 0.5mg/L IAA,22,60,2952,53,75
Root,Rose,MS + 1mg/L NAA,26,67,4091,53,72
Leaf,Spinach,B5 + 0.5mg/L IAA,21,51,2145,30,91
Root,Marigold,B5 + 1mg/L NAA,24,52,3991,53,79
Root,Tobacco,MS + 0.5mg/L IAA,26,71,4117,44,78
Root,Ginger,B5 + 2mg/L BAP,23,60,2308,36,75
Leaf,Cucumber,MS + 0.5mg/L IAA,24,67,4401,57,90
Root,Daisy,B5 + 1mg/L NAA,22,58,2373,53,83
Leaf,Basil,MS + 1mg/L NAA,23,63,3021,34,95
Root,Pepper,MS + 0.5mg/L IAA,24,63,3414,43,84
Root,Beetroot,B5 + 2mg/L BAP,26,67,2087,39,90
Stem,Marigold,MS + 0.5mg/L IAA,20,65,3430,39,77
Leaf,Oregano,MS + 0.5mg/L IAA,21,69,4930,59,93
Stem,Beetroot,MS + 0.5mg/L IAA,22,56,2914,54,94
Leaf,Pepper,B5 + 2mg/L BAP,26,50,4986,44,81
Stem,Garlic,MS + 1mg/L NAA,22,74,4820,54,76
Stem,Garlic,MS + 1mg/L NAA,26,56,3270,54,87
Stem,Lavender,MS + 0.5mg/L IAA,24,50,4503,47,78
Root,Cucumber,B5 + 0.5mg/L IAA,22,54,3040,58,91
Stem,Carrot,MS + 1.5mg/L BAP,25,75,2280,48,74
Stem,Eggplant,MS + 2mg/L BAP,21,66,4525,50,80
Stem,Mint,MS + 1.5mg/L BAP,23,60,4920,52,94
Stem,Onion,MS + 1mg/L NAA,26,56,3926,36,83
Leaf,Spinach,B5 + 2mg/L BAP,26,55,2450,51,73
Root,Spinach,B5 + 1mg/L NAA,21,64,3364,45,73
Stem,Basil,B5 + 0.5mg/L IAA,23,55,4834,46,83
Leaf,Carrot,MS + 1mg/L NAA,24,65,4036,41,73
Leaf,Carrot,B5 + 0.5mg/L IAA,24,74,3286,49,91
Stem,Onion,MS + 0.5mg/L IAA,20,62,3466,41,80
Root,Pansy,MS + 2mg/L BAP,22,63,4032,50,91
Root,Potato,MS + 1.5mg/L BAP,25,68,2496,60,94
Root,Thyme,MS + 1mg/L NAA,23,67,3606,38,89
Stem,Oregano,B5 + 2mg/L BAP,21,75,3770,32,88
Leaf,Dandelion,MS + 0.5mg/L IAA,21,70,2944,45,92
Root,Oregano,B5 + 2mg/L BAP,24,57,2711,43,89
Root,Lettuce,MS + 0.5mg/L IAA,23,58,4109,55,79
Root,Cucumber,MS + 1.5mg/L BAP,25,60,4587,31,78
Leaf,Lavender,B5 + 2mg/L BAP,25,52,4660,55,93
Leaf,Aloe,B5 + 2mg/L BAP,22,70,2538,56,74
Stem,Basil,MS + 1mg/L NAA,20,61,3137,49,83
Leaf,Oregano,MS + 2mg/L BAP,25,75,3677,51,95
Leaf,Potato,B5 + 2mg/L BAP,20,73,3007,30,92
Stem,Marigold,MS + 0.5mg/L IAA,20,72,2071,49,72
Leaf,Broccoli,MS + 2mg/L BAP,24,51,3763,36,87
Leaf,Chamomile,B5 + 1mg/L NAA,22,55,2492,45,78
Stem,Tobacco,MS + 2mg/L BAP,21,60,3681,33,80
Leaf,Daisy,B5 + 0.5mg/L IAA,24,54,2549,59,80
Root,Sunflower,MS + 1.5mg/L BAP,26,66,2304,43,76
Stem,Spinach,MS + 0.5mg/L IAA,22,61,4749,39,84
Stem,Eggplant,B5 + 2mg/L BAP,25,59,4742,59,94
Root,Rose,MS + 1.5mg/L BAP,22,63,4197,60,94
Leaf,Pansy,B5 + 0.5mg/L IAA,23,53,4691,54,80
Leaf,Cauliflower,MS + 2mg/L BAP,25,57,3493,52,87
Stem,Basil,B5 + 2mg/L BAP,22,50,4933,51,74
Leaf,Basil,MS + 1mg/L NAA,21,75,3771,51,82
Leaf,Sunflower,MS + 2mg/L BAP,20,67,2972,41,86
Stem,Oregano,MS + 1.5mg/L BAP,23,64,3294,50,74
Leaf,Potato,MS + 0.5mg/L IAA,25,56,2538,60,93
Stem,Lavender,B5 + 0.5mg/L IAA,22,50,2037,47,90
Leaf,Thyme,MS + 1mg/L NAA,21,67,2003,33,89
Root,Tomato,B5 + 2mg/L BAP,22,68,3876,30,81
Root,Tomato,B5 + 1mg/L NAA,26,65,3785,39,71
Root,Oregano,B5 + 0.5mg/L IAA,24,54,2299,41,87
Root,Cucumber,B5 + 2mg/L BAP,24,73,3280,54,73
Leaf,Basil,MS + 2mg/L BAP,20,50,2170,45,78
Leaf,Daisy,MS + 0.5mg/L IAA,26,70,3184,56,89
Stem,Dandelion,B5 + 1mg/L NAA,26,64,2630,37,88
Leaf,Tobacco,B5 + 0.5mg/L IAA,20,74,2224,52,91
Root,Potato,MS + 1mg/L NAA,24,57,3287,38,79
Stem,Pepper,MS + 2mg/L BAP,26,67,4486,43,71
Stem,Dandelion,MS + 0.5mg/L IAA,21,72,4303,43,75
Leaf,Potato,MS + 2mg/L BAP,23,55,4701,60,95
Root,Lavender,MS + 1mg/L NAA,24,65,3578,48,76
Leaf,Chrysanthemum,B5 + 2mg/L BAP,20,75,4051,56,74
Root,Pepper,MS + 1.5mg/L BAP,22,65,3468,39,76
Stem,Broccoli,MS + 1mg/L NAA,25,65,4734,38,81
Root,Cauliflower,MS + 1.5mg/L BAP,23,64,4671,59,87
Leaf,Cauliflower,MS + 0.5mg/L IAA,20,73,3720,45,81
Root,Chrysanthemum,MS + 2mg/L BAP,22,74,4439,55,88
Root,Garlic,B5 + 1mg/L NAA,23,53,3824,36,77
Stem,Carrot,B5 + 2mg/L BAP,26,53,3886,52,81
Leaf,Marigold,B5 + 0.5mg/L IAA,25,74,2316,60,86
Root,Dandelion,MS + 0.5mg/L IAA,25,66,3253,60,71
Stem,Daisy,MS + 1.5mg/L BAP,23,59,2777,37,92
Stem,Tobacco,MS + 1mg/L NAA,25,54,4809,47,76
Leaf,Cauliflower,B5 + 1mg/L NAA,20,60,2883,44,91
Root,Cucumber,B5 + 2mg/L BAP,22,54,4837,54,93
Root,Parsley,MS + 0.5mg/L IAA,21,72,3730,47,90
Root,Mint,MS + 1.5mg/L BAP,23,73,2098,58,80
Stem,Carrot,MS + 0.5mg/L IAA,24,65,4069,31,90
Leaf,Spinach,B5 + 0.5mg/L IAA,24,70,2172,53,75
Leaf,Oregano,MS + 1.5mg/L BAP,22,66,4428,54,86
Root,Pepper,MS + 2mg/L BAP,22,62,2155,55,86
Stem,Tomato,B5 + 0.5mg/L IAA,21,56,2447,58,70
Stem,Beetroot,MS + 0.5mg/L IAA,23,50,2180,60,80
Leaf,Daisy,B5 + 0.5mg/L IAA,20,74,2322,52,70
Stem,Pepper,B5 + 2mg/L BAP,23,69,3165,40,95
Stem,Onion,MS + 1.5mg/L BAP,25,51,3710,34,85
Leaf,Chrysanthemum,MS + 2mg/L BAP,23,50,2393,46,80
Root,Spinach,B5 + 0.5mg/L IAA,20,64,2205,60,71
Stem,Broccoli,B5 + 0.5mg/L IAA,24,52,2886,48,85
Stem,Potato,B5 + 0.5mg/L IAA,26,54,4457,30,92
Root,Marigold,B5 + 1mg/L NAA,23,52,2609,51,91
Leaf,Basil,MS + 2mg/L BAP,26,51,3988,40,86
Root,Lavender,B5 + 2mg/L BAP,25,54,4103,42,72
Root,Aloe,MS + 1mg/L NAA,26,72,4148,43,88
Stem,Beetroot,MS + 0.5mg/L IAA,22,58,4051,41,91
Stem,Basil,MS + 0.5mg/L IAA,23,54,4282,59,90
Leaf,Ginger,MS + 2mg/L BAP,22,56,2402,32,84
Root,Tomato,B5 + 0.5mg/L IAA,23,59,4203,47,95
Leaf,Rose,MS + 2mg/L BAP,26,71,4432,36,76
Leaf,Chamomile,MS + 1.5mg/L BAP,23,59,2848,44,81
Root,Dandelion,MS + 0.5mg/L IAA,21,65,2156,47,78
Root,Rose,B5 + 0.5mg/L IAA,25,56,3151,55,95
Root,Basil,MS + 2mg/L BAP,23,71,3600,58,95
Stem,Daisy,MS + 2mg/L BAP,26,51,4688,39,79
Leaf,Aloe,B5 + 1mg/L NAA,21,61,2469,53,74
Root,Chamomile,B5 + 2mg/L BAP,23,73,3580,44,81
Stem,Chrysanthemum,MS + 0.5mg/L IAA,24,71,2995,44,75
Root,Cucumber,B5 + 0.5mg/L IAA,26,65,4272,32,78
Stem,Garlic,B5 + 0.5mg/L IAA,26,72,4142,48,92
Stem,Pepper,MS + 1.5mg/L BAP,20,71,2466,46,92
Leaf,Lavender,B5 + 0.5mg/L IAA,22,64,3669,59,85
Root,Marigold,MS + 2mg/L BAP,25,65,4081,54,85
Leaf,Onion,B5 + 1mg/L NAA,22,53,3937,47,85
Stem,Lettuce,MS + 0.5mg/L IAA,25,74,4898,46,85
Root,Oregano,MS + 2mg/L BAP,20,69,4194,37,78
Root,Potato,B5 + 1mg/L NAA,24,75,3443,44,79
Stem,Tomato,MS + 0.5mg/L IAA,22,72,2362,38,94
Stem,Eggplant,MS + 1.5mg/L BAP,26,63,4160,37,78
Root,Lettuce,B5 + 1mg/L NAA,24,53,4805,56,88
Root,Chrysanthemum,MS + 1mg/L NAA,25,71,3446,38,82
Stem,Aloe,B5 + 1mg/L NAA,24,68,3722,41,78
Stem,Tobacco,B5 + 0.5mg/L IAA,24,68,4440,31,95
Root,Sunflower,MS + 1.5mg/L BAP,20,70,2187,49,88
Stem,Lavender,B5 + 1mg/L NAA,20,65,3435,56,77
Stem,Mint,MS + 1.5mg/L BAP,21,53,4571,42,71
Leaf,Daisy,B5 + 0.5mg/L IAA,23,62,2144,46,79
Leaf,Pepper,B5 + 2mg/L BAP,23,61,4706,40,83
Leaf,Spinach,MS + 1mg/L NAA,25,72,4421,49,79
Root,Lettuce,MS + 2mg/L BAP,21,69,3563,36,95
Stem,Eggplant,MS + 1.5mg/L BAP,24,63,3368,46,71
Leaf,Rose,B5 + 2mg/L BAP,26,61,3639,31,71
Root,Dandelion,MS + 2mg/L BAP,20,74,4280,42,83
Stem,Parsley,B5 + 2mg/L BAP,20,62,4196,35,70
Leaf,Pansy,MS + 1mg/L NAA,26,62,2656,53,82
Root,Aloe,MS + 2mg/L BAP,24,74,3557,40,88
Stem,Oregano,B5 + 0.5mg/L IAA,22,64,3960,31,87
Root,Chrysanthemum,MS + 1mg/L NAA,22,63,2721,34,86
Stem,Lavender,MS + 1.5mg/L BAP,20,59,4146,37,74
Leaf,Cucumber,MS + 1mg/L NAA,25,51,2140,31,82
Root,Basil,MS + 0.5mg/L IAA,23,69,2049,46,79
Stem,Potato,MS + 2mg/L BAP,25,69,3962,57,87
Root,Pepper,MS + 2mg/L BAP,26,73,2639,48,83
Root,Eggplant,B5 + 1mg/L NAA,26,71,4926,50,74
Root,Chamomile,B5 + 2mg/L BAP,24,62,3999,48,93
Stem,Broccoli,MS + 0.5mg/L IAA,23,66,2641,56,91
Root,Garlic,MS + 1.5mg/L BAP,20,57,2007,51,84
Root,Oregano,MS + 2mg/L BAP,22,56,4965,42,81
Root,Tomato,MS + 1mg/L NAA,21,59,4614,38,95
Stem,Potato,MS + 0.5mg/L IAA,22,74,4269,42,81
Leaf,Tomato,MS + 0.5mg/L IAA,23,58,2459,55,95
Root,Parsley,MS + 2mg/L BAP,26,50,4757,49,76
Leaf,Broccoli,MS + 1mg/L NAA,23,50,4739,60,85
Root,Mint,B5 + 0.5mg/L IAA,20,69,3189,50,84
Root,Thyme,MS + 2mg/L BAP,22,72,3832,35,88
Leaf,Thyme,MS + 1mg/L NAA,20,61,2632,38,77
Root,Tobacco,B5 + 1mg/L NAA,21,54,4589,59,95
Leaf,Garlic,MS + 1mg/L NAA,25,55,2791,37,87
Leaf,Marigold,B5 + 2mg/L BAP,21,59,3876,39,81
Leaf,Potato,MS + 0.5mg/L IAA,23,54,2863,54,90
Stem,Lavender,MS + 1.5mg/L BAP,22,71,3440,57,79
Root,Broccoli,B5 + 1mg/L NAA,23,62,3720,37,90
Root,Ginger,MS + 1.5mg/L BAP,24,71,3158,41,95
Root,Ginger,MS + 1.5mg/L BAP,24,72,2072,38,82
Root,Thyme,B5 + 1mg/L NAA,21,61,3909,46,70
Stem,Carrot,B5 + 1mg/L NAA,21,56,4112,42,88
Stem,Sunflower,MS + 0.5mg/L IAA,20,74,2914,49,73
Root,Lettuce,MS + 1.5mg/L BAP,23,64,4978,40,74
Root,Lettuce,MS + 1.5mg/L BAP,23,69,4967,35,73
Leaf,Ginger,MS + 2mg/L BAP,25,56,4916,33,70
Stem,Beetroot,B5 + 1mg/L NAA,23,72,2117,35,78
Root,Pansy,B5 + 1mg/L NAA,25,55,4185,56,70
Stem,Tobacco,MS + 1.5mg/L BAP,21,54,2909,33,84
Stem,Thyme,MS + 1mg/L NAA,20,52,2203,51,75
Root,Mint,MS + 2mg/L BAP,26,68,3639,41,81
Root,Onion,MS + 1mg/L NAA,23,52,4472,42,78
Leaf,Ginger,MS + 1.5mg/L BAP,23,74,3816,31,95
Stem,Sunflower,MS + 1.5mg/L BAP,25,58,4131,56,81
Root,Beetroot,MS + 1.5mg/L BAP,26,57,4451,37,93
Root,Cauliflower,MS + 1mg/L NAA,20,69,4392,46,76
Stem,Daisy,MS + 2mg/L BAP,24,72,4575,44,89
Root,Garlic,B5 + 2mg/L BAP,21,50,4333,32,83
Leaf,Thyme,B5 + 1mg/L NAA,21,64,3520,30,71
Leaf,Ginger,B5 + 2mg/L BAP,25,50,2422,46,72
Root,Garlic,MS + 1mg/L NAA,21,61,4627,47,94
Leaf,Chamomile,MS + 1mg/L NAA,23,72,3045,31,83
Leaf,Basil,MS + 1.5mg/L BAP,23,59,3419,36,71
Root,Daisy,MS + 0.5mg/L IAA,26,65,3163,40,88
Stem,Garlic,MS + 1.5mg/L BAP,23,71,4488,57,89
Leaf,Ginger,MS + 0.5mg/L IAA,24,57,4247,39,77
Stem,Sunflower,B5 + 2mg/L BAP,25,63,2837,43,74
Stem,Cauliflower,MS + 2mg/L BAP,22,51,3686,49,90
Leaf,Dandelion,MS + 1.5mg/L BAP,26,74,3890,39,93
Root,Daisy,B5 + 0.5mg/L IAA,20,53,2325,42,78
Stem,Parsley,MS + 0.5mg/L IAA,24,60,3065,43,84
Stem,Lettuce,B5 + 1mg/L NAA,20,65,3587,30,70
Stem,Marigold,B5 + 1mg/L NAA,26,75,3969,58,84
Root,Aloe,B5 + 1mg/L NAA,24,70,3079,39,88
Stem,Chamomile,B5 + 1mg/L NAA,23,68,4311,48,74
Stem,Garlic,MS + 1.5mg/L BAP,24,53,2144,55,82
Leaf,Daisy,MS + 0.5mg/L IAA,25,52,3780,31,74
Stem,Garlic,B5 + 1mg/L NAA,24,60,3552,36,81
Stem,Oregano,MS + 1.5mg/L BAP,23,51,4157,45,91
Leaf,Oregano,B5 + 0.5mg/L IAA,22,73,4109,42,95
Stem,Parsley,MS + 1mg/L NAA,21,72,4962,38,73
Stem,Parsley,B5 + 2mg/L BAP,24,53,3711,44,92
Root,Daisy,MS + 0.5mg/L IAA,26,51,3840,38,85
Root,Dandelion,MS + 1mg/L NAA,22,52,3526,44,79
Stem,Mint,MS + 0.5mg/L IAA,25,62,2280,43,76
Leaf,Carrot,MS + 0.5mg/L IAA,24,72,4298,53,73
Leaf,Chrysanthemum,B5 + 1mg/L NAA,26,54,3382,59,91
Root,Lavender,MS + 0.5mg/L IAA,26,63,4012,48,82
Root,Lettuce,MS + 0.5mg/L IAA,20,50,2413,33,94
Root,Cucumber,B5 + 0.5mg/L IAA,23,50,2344,51,71
Stem,Aloe,MS + 1mg/L NAA,23,66,3740,53,76
Root,Sunflower,MS + 2mg/L BAP,26,51,3246,58,74
Stem,Broccoli,B5 + 1mg/L NAA,21,54,3451,32,81
Stem,Ginger,MS + 2mg/L BAP,24,62,3765,43,71
Leaf,Cauliflower,MS + 0.5mg/L IAA,23,61,2186,32,90
Stem,Chamomile,B5 + 2mg/L BAP,21,67,3438,35,77
Leaf,Ginger,MS + 1.5mg/L BAP,22,68,4739,35,93
Stem,Eggplant,B5 + 0.5mg/L IAA,25,72,4488,33,91
Stem,Cucumber,B5 + 0.5mg/L IAA,26,56,3496,55,92
Root,Spinach,MS + 1mg/L NAA,21,71,3647,40,94
Root,Ginger,MS + 2mg/L BAP,25,58,2848,31,88
Root,Tomato,B5 + 1mg/L NAA,24,64,3243,54,79
Leaf,Lettuce,MS + 0.5mg/L IAA,25,60,3019,37,77
